,Unnamed: 0,id,host_id,latitude,longitude,price,minimum_nights,Average_review,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Unnamed: 0,1.0,0.9727127212757897,0.5101136772585196,0.04059733458566822,0.07738628887316895,0.09526720531640162,-0.040521060473408206,0.0520104725816542,-0.10292110483130998,-0.05851773054945255,0.04096373288172494,-0.12877253174241496
id,0.9727127212757897,1.0,0.5171643520817533,0.0492400809363587,0.08207775831125963,0.08916264739538263,-0.041851883521944466,0.05508042332879448,-0.0992368616078432,-0.053468134757321296,0.0022069461346730223,-0.1314507659837658
host_id,0.5101136772585196,0.5171643520817533,1.0,0.06991383520058307,0.040544290934958135,0.056382623282404565,-0.04392479671076928,0.05034012687210397,-0.0905267935698908,-0.06478643171224463,-0.028716030894080036,-0.07263460407339507
latitude,0.04059733458566822,0.0492400809363587,0.06991383520058307,1.0,0.2259624475021234,-0.04039383024043753,0.006887836956719329,0.05256602930059561,0.009797194507311228,0.010259904469158889,-0.013543215572488193,0.08523452594183319
longitude,0.07738628887316895,0.08207775831125963,0.040544290934958135,0.2259624475021234,1.0,-0.19126426887731923,-0.014965768813806093,-0.11017065458507236,-0.04570833536857394,-0.004905800682661709,0.06962143585191517,0.09888272296532735
price,0.09526720531640162,0.08916264739538263,0.056382623282404565,-0.04039383024043753,-0.19126426887731923,1.0,0.012244910898967488,0.4475784752751246,-0.18553930261773963,-0.19654486713286093,0.1117837535324086,-0.028210931653336803
minimum_nights,-0.040521060473408206,-0.041851883521944466,-0.04392479671076928,0.006887836956719329,-0.014965768813806093,0.012244910898967488,1.0,-0.00024085286659902876,-0.14495431007929327,-0.15376002424629745,-0.06368610147719339,-0.03617317405388341
Average_review,0.0520104725816542,0.05508042332879448,0.05034012687210397,0.05256602930059561,-0.11017065458507236,0.4475784752751246,-0.00024085286659902876,1.0,-0.09446666406261119,-0.11756172648290332,0.03491565591752981,0.0510444609111883
number_of_reviews,-0.10292110483130998,-0.0992368616078432,-0.0905267935698908,0.009797194507311228,-0.04570833536857394,-0.18553930261773963,-0.14495431007929327,-0.09446666406261119,1.0,0.9277145753481594,-0.05823613716289826,0.13513691097764952
reviews_per_month,-0.05851773054945255,-0.053468134757321296,-0.06478643171224463,0.010259904469158889,-0.004905800682661709,-0.19654486713286093,-0.15376002424629745,-0.11756172648290332,0.9277145753481594,1.0,-0.07331556846570779,0.08152700219904344
calculated_host_listings_count,0.04096373288172494,0.0022069461346730223,-0.028716030894080036,-0.013543215572488193,0.06962143585191517,0.1117837535324086,-0.06368610147719339,0.03491565591752981,-0.05823613716289826,-0.07331556846570779,1.0,0.04203491473498367
availability_365,-0.12877253174241496,-0.1314507659837658,-0.07263460407339507,0.08523452594183319,0.09888272296532735,-0.028210931653336803,-0.03617317405388341,0.0510444609111883,0.13513691097764952,0.08152700219904344,0.04203491473498367,1.0
